阿爾法,a er fa
阿尔法,a er fa
阿尔法粒子,a er fa li zi
阿爾法粒子,a er fa li zi
阿尔泰紫菀,a er tai zi wan
阿爾泰紫菀,a er tai zi wan
阿爸,a ba
阿兵哥,a bing ge
阿布叔醇,a bu shu chun
阿弟,a di
阿的平,a di ping
阿爹,a die
吖啶,a ding
阿梵達,a fan da
阿梵达,a fan da
阿飞,a fei
阿飛,a fei
阿芙蓉,a fu rong
阿哥,a ge
阿公,a gong
阿訇,a hong
阿混,a hun
阿拉,a la
阿拉伯糖,a la bo tang
阿兰若,a lan re
阿蘭若,a lan re
阿利藤,a li teng
阿列夫,a lie fu
阿羅漢,a luo han
阿罗汉,a luo han
阿妈,a ma
阿媽,a ma
阿貓阿狗,a mao a gou
阿猫阿狗,a mao a gou
阿妹,a mei
阿門,a men
阿门,a men
阿们,a men
阿們,a men
阿米巴,a mi ba
阿米巴病,a mi ba bing
阿米巴痢疾,a mi ba li ji
阿米巴原蟲,a mi ba yuan chong
阿米巴原虫,a mi ba yuan chong
阿摩尼亞,a mo ni ya
阿摩尼亚,a mo ni ya
阿莫西林,a mo xi lin
阿木林,a mu lin
阿奶,an ai
阿囡,an an
阿片,a pian
阿飄,a piao
阿飘,a piao
阿婆,a po
阿普吐龍,a pu tu long
阿普吐龙,a pu tu long
阿奇霉素,a qi mei su
吖嗪,a qin
阿阇黎,a she li
阿闍梨,a she li
阿闍黎,a she li
阿阇梨,a she li
阿是穴,a shi xue
阿斯巴特,a si ba te
阿斯巴甜,a si ba tian
阿斯匹灵,a si pi ling
阿斯匹靈,a si pi ling
阿斯匹林,a si pi lin
阿司匹林,a si pi lin
阿嚏,a ti
阿土,a tu
阿托品,a tuo pin
阿拖品化,a tuo pin hua
阿魏,a wei
阿物儿,a wu er
阿物兒,a wu er
阿昔洛韋,a xi luo wei
阿昔洛韦,a xi luo wei
錒系元素,a xi yuan su
锕系元素,a xi yuan su
阿仙药,a xian yao
阿仙藥,a xian yao
阿乡,a xiang
阿鄉,a xiang
阿兄,a xiong
啊呀,a ya
阿亚图拉,a ya tu la
阿亞圖拉,a ya tu la
阿姨,a yi
啊喲,a yo
啊哟,a yo
阿育魏实,a yu wei shi
阿育魏實,a yu wei shi
阿月浑子实,a yue hun zi shi
阿月渾子實,a yue hun zi shi
阿月浑子树,a yue hun zi shu
阿月渾子樹,a yue hun zi shu
阿月渾子,a yue hun zi
阿月浑子,a yue hun zi
腌臢,a za
腌臜,a za
唉唉,ai ai
哀而不伤,ai er bu shang
哀而不傷,ai er bu shang
挨邊,ai bian
挨边,ai bian
挨边儿,ai bian er
挨邊兒,ai bian er
哀兵必勝,ai bing bi sheng
哀兵必胜,ai bing bi sheng
挨不上,ai bu shang
挨擦,ai ca
哀愁,ai chou
哀辞,ai ci
哀辭,ai ci
哀词,ai ci
哀詞,ai ci
挨次,ai ci
哀悼,ai dao
哀的美敦書,ai di mei dun shu
哀的美敦书,ai di mei dun shu
哀告,ai gao
哀告賓服,ai gao bin fu
哀告宾服,ai gao bin fu
哀歌,ai ge
挨個,ai ge
挨个,ai ge
挨個兒,ai ge er
挨个儿,ai ge er
